target,addr,date,target_number,floor,total_floor,building_state,house_age,building_size,pattern_room,pattern_hall,pattern_health,manages,total_price,unit_price,cart_price
房地(土地+建物),松山路511~540號,1100409,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),39,120.17,3,2,2,無,28500000,237164,0
房地(土地+建物),福華路128巷3弄1~30號,1100408,土地1建物1車位0,二層,二層,透天厝,51,77.28,3,2,3,無,30000000,388199,0
房地(土地+建物)+車位,新湖一路61~90號,1100408,土地1建物1車位2,五層,七層,華廈(10層含以下有電梯),9,360.44,0,0,0,有,48000000,133171,0
房地(土地+建物)+車位,康寧路三段56巷181~210號,1100406,土地2建物1車位1,六層,十一層,住宅大樓(11層含以上有電梯),11,113.02,2,1,1,有,21600000,209524,1800000
房地(土地+建物)+車位,和平西路一段31~60號,1100406,土地2建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),13,87.3,1,1,1,有,16080000,351724,1800000
房地(土地+建物)+車位,信義路五段91~120號,1100406,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),24,114.82,0,0,0,有,27500000,239505,0
房地(土地+建物),仁愛路四段91~120號,1100405,土地2建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),48,47.81,1,1,1,有,16300000,340933,0
房地(土地+建物),安和路二段31~60號,1100404,土地2建物1車位0,三層,十九層,住宅大樓(11層含以上有電梯),42,71.44,2,1,1,有,22400000,313550,0
房地(土地+建物),新明路331~360號,1100403,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),12,50.74,2,1,2,有,11200000,220733,0
房地(土地+建物)+車位,忠順街一段31~60號,1100402,土地1建物1車位1,八層,九層,華廈(10層含以下有電梯),8,99.35,2,1,1,有,15780000,158832,0
房地(土地+建物),中山北路七段219巷3弄91~120號,1100401,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),37,104.33,3,2,2,有,15800000,151443,0
房地(土地+建物),八德路三段91~120號,1100401,土地1建物1車位0,八層,十一層,住宅大樓(11層含以上有電梯),43,72.03,3,2,1,有,16500000,229071,0
房地(土地+建物)+車位,東湖路43巷26弄1~30號,1100328,土地2建物1車位1,五層,八層,華廈(10層含以下有電梯),15,92.57,3,2,1,有,17000000,200517,1500000
房地(土地+建物)+車位,雙城街19巷1~30號,1100328,土地2建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),13,129.13,3,1,1,有,27620000,213893,0
房地(土地+建物),忠孝東路五段241~270號,1100327,土地1建物1車位0,十層,十一層,住宅大樓(11層含以上有電梯),16,36.62,2,1,2,有,13239000,361524,0
房地(土地+建物)+車位,市民大道三段181~210號,1100327,土地2建物1車位2,二十二層,二十三層,住宅大樓(11層含以上有電梯),5,374.35,4,2,3,有,160000000,427408,0
房地(土地+建物),建國北路二段31~60號,1100325,土地5建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),33,50.68,2,1,1,有,12100000,238753,0
房地(土地+建物),內湖路三段187巷1~30號,1100323,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),42,67.51,3,2,2,無,9000000,133314,0
房地(土地+建物),龍江路328巷1~30號,1100322,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),43,134.19,2,2,1,無,43000000,320441,0
房地(土地+建物),八德路四段1~30號,1100320,土地1建物1車位0,五層,九層,華廈(10層含以下有電梯),18,43.81,1,1,1,有,11880000,271171,0
房地(土地+建物),民生東路五段138巷1~30號,1100320,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),-1,131.2,3,2,2,有,32680000,249085,0
房地(土地+建物),永康街13巷1~30號,1100310,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),51,130.72,3,4,3,無,35500000,271573,0
房地(土地+建物),興隆路一段70巷11弄1~30號,1100309,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),-1,20.76,3,2,2,無,1796000,86513,0
房地(土地+建物),文昌路151~180號,1100223,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),46,101.7,3,2,2,無,12500000,122911,0
房地(土地+建物),中和街20巷1~30號,1100219,土地3建物1車位0,十一層,十三層,住宅大樓(11層含以上有電梯),15,46.14,1,0,1,有,7000000,151712,0
房地(土地+建物)+車位,康定路61~90號,1100218,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),8,149.89,2,2,2,有,27000000,180132,0
房地(土地+建物),泉源路31~60號,1100206,土地2建物1車位0,一層,七層,華廈(10層含以下有電梯),42,266.24,3,2,2,有,20500000,76998,0
房地(土地+建物)+車位,羅斯福路六段150巷1~30號,1100129,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),3,129.64,2,2,1,有,26900000,252014,2500000
房地(土地+建物),榮華一路1~30號,1100125,土地1建物1車位0,一層,五層,華廈(10層含以下有電梯),26,45.24,1,1,1,無,5030000,111185,0
房地(土地+建物),寶清街89巷1~30號,1100119,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),-1,79.31,3,2,2,無,12880000,162401,0
房地(土地+建物),興隆路一段70巷11弄1~30號,1100107,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),-1,20.76,3,2,2,無,1800000,86705,0
房地(土地+建物),基隆路一段151~180號,1100106,土地9建物1車位0,六層,十八層,住宅大樓(11層含以上有電梯),31,160.84,0,0,0,有,29550000,183723,0
房地(土地+建物),林森北路557巷1~30號,1091220,土地1建物1車位0,四層,九層,華廈(10層含以下有電梯),10,67.02,1,1,1,有,12080000,180245,0
房地(土地+建物),信義路四段181~210號,1091123,土地2建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),24,43.67,1,1,1,有,13100000,299977,0
房地(土地+建物),後港街1~30號,1091119,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),43,143.66,6,2,4,無,22800000,158708,0
房地(土地+建物),東湖路160巷10弄31~60號,1091117,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),40,89.96,3,1,1,無,8730000,97043,0
房地(土地+建物),玉成街201巷4弄1~30號,1091114,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),-1,81.32,3,2,1,無,13800000,169700,0
房地(土地+建物),龍江路361~390號,1091018,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),41,95.59,3,2,1,無,14380000,150434,0
房地(土地+建物),松山路511~540號,1091007,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),38,120.17,3,2,2,無,22000000,183074,0
房地(土地+建物),萬大路424巷61~90號,1090829,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),-1,92.62,3,2,1,無,8700000,93932,0
房地(土地+建物),新生北路一段1~30號,1090821,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),40,49.22,1,1,1,有,10500000,213328,0
房地(土地+建物),和平東路一段181~210號,1090813,土地1建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),12,37.68,1,1,1,有,12780000,339172,0
房地(土地+建物),萬盛街166巷1~30號,1090812,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),-1,130.42,3,2,2,無,13000000,99678,0
房地(土地+建物),承德路三段151~180號,1090713,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),13,72.85,1,1,1,有,12380000,169938,0
房地(土地+建物),八德路四段631~660號,1090712,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),11,118.46,3,2,2,有,19300000,162924,0
房地(土地+建物),大理街31~60號,1090706,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),53,34.67,0,0,0,無,12000000,346121,0
房地(土地+建物),環河南路一段61~90號,1090701,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),43,19.1,1,1,1,無,1966000,102932,0
房地(土地+建物)+車位,開封街二段31~60號,1090616,土地1建物1車位1,六層,十層,華廈(10層含以下有電梯),22,107.06,1,1,1,有,14100000,131702,1500000
房地(土地+建物)+車位,八德路四段901~930號,1090615,土地1建物1車位2,七層,十二層,住宅大樓(11層含以上有電梯),-1,270.81,0,0,0,有,36720000,135593,0
房地(土地+建物),安和路二段31~60號,1090612,土地2建物1車位0,三層,十九層,住宅大樓(11層含以上有電梯),41,71.44,2,1,1,有,20680000,289474,0
房地(土地+建物)+車位,長沙街二段31~60號,1090608,土地1建物2車位2,十二層,十四層,住宅大樓(11層含以上有電梯),18,319.92,3,2,2,有,46860000,146474,0
房地(土地+建物),臺北市松山區民生東路五段177巷6弄1~30號,1090423,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),-1,102.5,3,2,2,無,15500000,151220,0
房地(土地+建物)+車位,政大三街31~60號,1090420,土地1建物1車位2,四層,五層,華廈(10層含以下有電梯),11,269.48,3,2,2,有,32500000,120603,0
房地(土地+建物),臺北市大安區忠孝東路三段248巷1~30號,1090416,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),38,113.46,3,2,1,有,24980000,220166,0
房地(土地+建物),臺北市內湖區康樂街72巷17弄151~180號,1090331,土地1建物1車位0,二層,二層,透天厝,35,168.08,7,3,3,無,20000000,118991,0
